userName;registrationDate;age;password;Balance
asd;2025-01-29;18;asd;2367
NhgMKvgl;2020-08-10;30;#GoSpySIpV;10000
aaB3B0VP;2022-07-15;55;E9BgSx3fa0;10000
99uL2LQ6;2023-04-09;43;wvPYhCYeYK;10000
2LeWcyY9;2021-09-04;18;m8KDH06c#4;10000
jMd4vyFP;2020-01-17;34;Cue$QeRu3d;10000
5a19eWZQ;2022-03-12;58;Y1PDQfhYa*;10000
Vo8k627r;2022-04-10;32;yLl2h9HEwF;10000
xt4auBvU;2020-02-08;49;B5s8Pl8MNf;10000
hLKR0xSb;2023-01-09;66;QFKz&zJUQH;10000
LTvh1LfY;2020-06-29;28;BKu!^%tSYU;10000
BAYE8lGW;2022-07-10;68;lVU7#WkfLh;10000
t6n5LuBL;2021-07-17;20;xuPE%13gI@;10000
w11y9DHA;2020-01-14;67;UCFNYdNSkt;10000
ADuDqOxa;2023-02-11;33;DZHTY#28vQ;10000
qisoRyiC;2023-04-18;28;#ZH5Je1XPi;10000
RPloOHG5;2021-12-16;32;rIprfA5sEM;10000
YU2BpsGf;2021-12-12;38;9X!AuLcGwL;10000
cAmgCAQy;2021-05-10;69;ofmi2IUMwX;10000
VGxLKc09;2021-01-04;33;J$KGtTmbBz;10000
CnEogDbP;2021-03-03;40;%1Xb3XsClc;10000
Js9l3OPc;2023-09-15;25;IoRDvAqsfj;10000
MxSsM1Mq;2020-09-14;21;isaz$KswV6;10000
2TX08I2A;2021-04-12;26;4YNeG9EnA$;10000
zDYWXi1D;2021-06-03;37;#!661OiuCw;10000
lj9XODyh;2022-09-13;43;p5qVMN9P8Z;10000
2bWCmrJZ;2020-09-06;41;6g!W&O$vGD;10000
4c5g5cz3;2022-06-10;26;uzmKc%gNBu;10000
ChNnRIZc;2022-05-09;59;TV*J3Fbqdk;10000
kDaXbvLl;2021-01-10;39;kDvndk1bjD;10000
3axquRUE;2020-10-18;42;@7Ii$krFOR;10000
EJn8iaNO;2021-12-18;23;nk7uZ9h67H;10000
t2qgSA3u;2020-07-17;55;GqUpEnZ30*;10000
h6DaoDpd;2023-06-30;42;iZqKeVu2LI;10000
CYCCmCXw;2021-03-18;25;nEM^lpuv8X;10000
zvhD8dMa;2023-12-08;43;yBFuc2kz3u;10000
jgWO20Hu;2022-11-26;66;eZUX1riF42;10000
bnF3Bd3R;2023-06-08;55;7b!aQ1xPqL;10000
6ZXm6tCb;2021-02-24;37;DUgrmDXA5x;10000
FL8Ya23k;2023-04-30;41;#KbpeDHuTG;10000
Juz1RkS0;2021-08-28;44;d68UcyR^j^;10000
etP6CcCJ;2020-07-16;37;b9L8evf%Rl;10000
EDhvaLrv;2020-08-01;63;&U4qUWOJg0;10000
1xevHGgc;2023-02-13;51;EW*!RZGjB4;10000
LpJwBH6r;2023-10-23;70;Pr$e5136hu;10000
a6FGG19v;2021-05-14;65;nvG$OAaFFB;10000
PWPtQshW;2020-01-04;62;rLTSMFLFXO;10000
bAmbppg6;2022-05-22;27;ArU@Iq53AH;10000
SzSIEYAM;2021-02-15;26;5D%ve&7Wsd;10000
pEoTcMOG;2021-08-02;34;%gLYpSEB$V;10000
OVLkzY1z;2021-02-23;60;k*xFtt%2cF;10000
OWp7XaKM;2023-11-04;34;%ERaXCDjab;10000
xsmknvjk;2021-03-07;31;pdpzDerx!3;10000
6KPMjrg9;2023-11-01;38;WYoxGogE@K;10000
PwOCpS1F;2021-12-07;38;x!*iNF0Snj;10000
mdeqVvJc;2022-12-26;67;QsEGgbSlff;10000
wJcmwvvP;2020-07-27;67;UmluKBEn1b;10000
bc5uD920;2022-10-21;32;6YIxTO%z^b;10000
8BN9TIfH;2021-12-23;44;@@&FLzRaf@;10000
6R8TakPn;2021-10-19;47;B*gfPGq1h9;10000
HlQqDSpv;2020-10-07;23;06Mf@HbjDK;10000
zfwkYI9a;2021-10-18;48;JkZqWDOj5U;10000
ibboaHdH;2023-03-02;54;@jPfSdLaZ$;10000
fjVXvvtk;2021-03-25;47;M1@^xKQ6j1;10000
NpIePzph;2022-04-04;68;Rp5NE9y%e7;10000
